M,gaussian_psnr,subsampling_psnr,gaussian_time_sec,subsampling_time_sec
6,11.50990462910524,10.94950069972554,2.974522800000045,3.922079100000019
13,12.350927514952799,11.622140361260067,4.868657600000006,5.7498610999999755
19,12.987191642393165,12.27434127795826,5.282712500000002,5.122237199999972
26,13.695655626539144,13.12343088807019,5.20382619999998,6.176093500000093
32,14.325370058894087,14.023860985346621,5.908458300000007,5.907342699999958
38,15.27661935040772,15.076651471392504,5.3263560000000325,5.084913400000005
