M,gaussian_psnr,subsampling_psnr,gaussian_time_sec,subsampling_time_sec
6,6.130329559015276,5.4846765450905055,5.773703100000034,14.124756500000103
13,6.976681669324684,6.127668872645775,7.79201020000005,21.18661510000004
19,7.5932246551317775,6.744775759402471,9.468767200000002,22.474990400000024
26,8.290708149034304,7.567541241815795,13.715633199999957,22.44699659999992
32,8.941930944867696,8.41196873786587,17.033121499999993,22.998108499999944
38,9.721383198328514,9.437231040317796,23.145596400000045,26.59855390000007
