M,gaussian_psnr,subsampling_psnr,gaussian_time_sec,subsampling_time_sec
6,7.233346004883456,6.55618970330811,0.4562428000000409,1.9192227999999432
13,8.05952672414943,7.187162703807958,0.9225370999999996,3.1028263000000607
19,8.677703036107552,7.787371622343499,1.2665987000000314,3.273157400000059
26,9.368138284866705,8.602435561417629,1.7256174999999985,3.268712300000061
32,9.999138041720565,9.420150020706705,2.3417843999999377,3.0912817000000814
38,10.825032909332869,10.435544627233126,2.621261900000036,2.726964800000019
