probe_type,name,true_label,raw_predicted_class,min_residual,residual_ratio,sparsity_concentration,total_residual,rejected_as_unknown
my_selfie,IMG_6624.jpg,-1,38,0.9447229646193387,1.0022088525679411,0.03979791655918158,0.4181679151819199,1
my_selfie,IMG_6626.jpg,-1,38,0.9459859233122582,1.0017458697500425,0.04384460496252714,0.4252151953676607,1
my_selfie,IMG_6628.jpg,-1,38,0.9414862635613842,1.0108760892057007,0.044207060523523745,0.42176817824978835,1
my_selfie,IMG_6629.jpg,-1,11,0.9485648785742238,1.000777372443137,0.04286213311296748,0.42225112846728163,1
my_selfie,IMG_6632.jpg,-1,28,0.9351915844620544,1.0041344068617695,0.04098404028256176,0.3914677933534643,1
my_selfie,IMG_6634.jpg,-1,38,0.9210410170354691,1.0114223422864683,0.0561947774978301,0.41526738698307236,1
my_selfie,IMG_6656.jpg,-1,38,0.9305297532658934,1.0066875446256933,0.039656794668568085,0.44401457850998244,1
my_selfie,IMG_6657.jpg,-1,38,0.9396945049210883,1.0027263251079868,0.050218660888149975,0.4512741664438123,1
friend_selfie,487300904_2395665860767948_985098222417996783_n.jpg,-1,38,0.9368720625216205,1.006592873704942,0.04258233648382348,0.39293933772264056,1
friend_selfie,539120817_1847484292509106_6863853165385871964_n.jpg,-1,3,0.9043860237495241,1.029181548504175,0.017227661311484385,0.45765403014283534,1
friend_selfie,539464833_122117349716957904_4767269765975689750_n.jpg,-1,28,0.9274517717536531,1.0164597065354957,0.03816464056868032,0.4413525710267614,1
yale_in_db_control,yale_test_1200,20,20,0.7681474895960257,1.2112982666874172,0.17822085369105953,0.23684810520904898,0
